Price,address,region,bds,ba,sqft
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
Price,address,region,bds,ba,sqft
"$289,900",1208 Valridge N,"Prattville, AL",4,3,"2,653 "
"$219,900",1096 Plum Orchard Way,"Prattville, AL",4,3,"2,486 "
"$241,000",102 Mill Ridge Ct,"Prattville, AL",4,3,"2,273 "
"$194,900",1259 Plum St,"Prattville, AL",4,3,"2,296 "
"$96,000",449 Cargill St,"Prattville, AL",3,2,"1,389 "
"$183,900",1745 Benson St,"Prattville, AL",3,2,"1,519 "
"$379,900",437 Sydney Dr N,"Prattville, AL",5,4,"4,360 "
"$215,000",1748 Windermere Ave,"Prattville, AL",4,3,"2,342 "
"$168,900",1658 Buena Vista Blvd,"Prattville, AL",3,2,"1,454 "
"$135,000",1375 County Road 51,"Prattville, AL",3,2,"2,052 "
"$311,000",141 E Poplar St,"Prattville, AL",5,3,"2,848 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$218,000",2000 Chancellor Ridge Rd,"Prattville, AL",4,2,"2,039 "
"$145,000",351 N Northington St,"Prattville, AL",3,2,"1,584 "
"$359,900",1691 Windstone Way,"Prattville, AL",4,3,"3,638 "
"$155,000",838 Newton St,"Prattville, AL",4,2,"1,980 "
"$85,000",169 Laurel Hill Dr,"Prattville, AL",3,2,"1,297 "
"$239,900",2162 Addison Way,"Prattville, AL",4,2,"2,084 "
"$115,000",837 Newton St,"Prattville, AL",3,2,"1,716 "
"$145,000",601 Sheila Blvd,"Prattville, AL",3,2,"1,370 "
"$387,000",743 Glennbrooke Blvd,"Prattville, AL",6,4,"4,373 "
"$195,000",1919 Dundee Dr,"Prattville, AL",3,2,"1,671 "
"$244,500",122 Grasmere Ct,"Prattville, AL",4,3,"2,311 "
"$168,900",1904 Regent Rd,"Prattville, AL",3,2,"1,390 "
"$189,900",562 Selma Hwy,"Prattville, AL",4,3,"2,850 "
"$565,900",114 Chimney Rdg,"Prattville, AL",5,4,"4,050 "
"$184,900",1761 Benson St,"Prattville, AL",3,2,"1,512 "
"$209,900",603 Castle Brook Dr,"Prattville, AL",3,2,"2,039 "
"$149,500",624 Shadow Ln,"Prattville, AL",4,2,"1,566 "
"$270,000",1704 Twelve Oaks Ln,"Prattville, AL",4,4,"2,740 "
"$289,900",1208 Valridge N,"Prattville, AL",4,3,"2,653 "
"$219,900",1096 Plum Orchard Way,"Prattville, AL",4,3,"2,486 "
"$241,000",102 Mill Ridge Ct,"Prattville, AL",4,3,"2,273 "
"$194,900",1259 Plum St,"Prattville, AL",4,3,"2,296 "
"$96,000",449 Cargill St,"Prattville, AL",3,2,"1,389 "
