Price,address,region,bds,ba,sqft 
"$199,900",27304 Elise Ct,"Daphne, AL",3,2,"1,573 "
"$179,000",169 Lakeview Loop,"Daphne, AL",3,3,"1,806 "
"$132,000",4 Yacht Club Dr #182,"Daphne, AL",2,2,"1,010 "
"$189,000",110 Cameron Cir,"Daphne, AL",4,3,"2,085 "
"$210,000",266 Rolling Hill Dr,"Daphne, AL",4,3.5,"3,064 "
"$156,800",110 Wicker Way,"Daphne, AL",3,2,"1,290 "
"$169,000",368 Ridgewood Dr,"Daphne, AL",3,3,"1,912 "
"$245,265",104 Victor Cir,"Daphne, AL",4,4,"2,814 "
"$173,500",111 Marc Cir,"Daphne, AL",3,3,"2,496 "
"$199,900",174 Greenwood Dr,"Daphne, AL",3,3,"1,715 "
"$174,900",103 Laverne Cir,"Daphne, AL",3,3,"2,120 "
"$215,000",7611 Charleston Oaks Dr,"Daphne, AL",4,2.5,"2,262 "
"$1,999,000",10810 Redfern Rd,"Daphne, AL",4,6,"8,000 "
"$179,900",8058 Brookside Ln,"Daphne, AL",3,2,"1,560 "
"$250,000",112 Montclair Pl,"Daphne, AL",5,4,"2,356 "
"$399,900",10975 Elysian Cir,"Daphne, AL",4,3,"2,950 "
"$348,200",8892 S Lamhatty Ln,"Daphne, AL",4,3,"3,028 "
"$65,000",Lot-1104B Randall Ave,"Daphne, AL",Null,Null,Null
"$239,900",8365 Rocking Horse Cir,"Daphne, AL",4,3,"2,182 "
"$193,000",100 Tara Ct,"Daphne, AL",3,3,"1,536 "
"$217,675",27486 Elise Ct,"Daphne, AL",3,2,"1,425 "
"$240,000",110 Melanie Loop,"Daphne, AL",4,4,"2,400 "
"$3,999,995",319 Woodbridge Dr,"Daphne, AL",5,10,"8,450 "
"$298,000",554 Wedgewood Dr,"Daphne, AL",4,5,"3,400 "
"$159,900",106 Avon Cir E,"Daphne, AL",3,2,"1,554 "
"$162,000",128 Richmond Rd,"Daphne, AL",3,3,"1,792 "
"$209,900",106 Comer Cir,"Daphne, AL",4,3,"2,394 "
"$179,900",222 Maplewood Loop,"Daphne, AL",3,3,"1,740 "
"$136,000",119 Shiloh Dr,"Daphne, AL",2,2,"1,225 "
"$132,500",57 Lake Shore Dr,"Daphne, AL",4,4,"1,997 "
"$199,900",27304 Elise Ct,"Daphne, AL",3,2,"1,573 "
"$179,000",169 Lakeview Loop,"Daphne, AL",3,3,"1,806 "
"$132,000",4 Yacht Club Dr #182,"Daphne, AL",2,2,"1,010 "
"$189,000",110 Cameron Cir,"Daphne, AL",4,3,"2,085 "
"$210,000",266 Rolling Hill Dr,"Daphne, AL",4,3.5,"3,064 "
"$156,800",110 Wicker Way,"Daphne, AL",3,2,"1,290 "
"$169,000",368 Ridgewood Dr,"Daphne, AL",3,3,"1,912 "
"$245,265",104 Victor Cir,"Daphne, AL",4,4,"2,814 "
"$173,500",111 Marc Cir,"Daphne, AL",3,3,"2,496 "
"$199,900",174 Greenwood Dr,"Daphne, AL",3,3,"1,715 "
"$174,900",103 Laverne Cir,"Daphne, AL",3,3,"2,120 "
"$215,000",7611 Charleston Oaks Dr,"Daphne, AL",4,2.5,"2,262 "
"$1,999,000",10810 Redfern Rd,"Daphne, AL",4,6,"8,000 "
"$179,900",8058 Brookside Ln,"Daphne, AL",3,2,"1,560 "
"$250,000",112 Montclair Pl,"Daphne, AL",5,4,"2,356 "
"$399,900",10975 Elysian Cir,"Daphne, AL",4,3,"2,950 "
"$348,200",8892 S Lamhatty Ln,"Daphne, AL",4,3,"3,028 "
"$65,000",Lot-1104B Randall Ave,"Daphne, AL",Null,Null,Null
"$239,900",8365 Rocking Horse Cir,"Daphne, AL",4,3,"2,182 "
"$193,000",100 Tara Ct,"Daphne, AL",3,3,"1,536 "
"$217,675",27486 Elise Ct,"Daphne, AL",3,2,"1,425 "
"$240,000",110 Melanie Loop,"Daphne, AL",4,4,"2,400 "
"$3,999,995",319 Woodbridge Dr,"Daphne, AL",5,10,"8,450 "
"$298,000",554 Wedgewood Dr,"Daphne, AL",4,5,"3,400 "
"$159,900",106 Avon Cir E,"Daphne, AL",3,2,"1,554 "
"$162,000",128 Richmond Rd,"Daphne, AL",3,3,"1,792 "
"$209,900",106 Comer Cir,"Daphne, AL",4,3,"2,394 "
"$179,900",222 Maplewood Loop,"Daphne, AL",3,3,"1,740 "
"$136,000",119 Shiloh Dr,"Daphne, AL",2,2,"1,225 "
"$132,500",57 Lake Shore Dr,"Daphne, AL",4,4,"1,997 "
"$199,900",27304 Elise Ct,"Daphne, AL",3,2,"1,573 "
"$179,000",169 Lakeview Loop,"Daphne, AL",3,3,"1,806 "
"$132,000",4 Yacht Club Dr #182,"Daphne, AL",2,2,"1,010 "
"$189,000",110 Cameron Cir,"Daphne, AL",4,3,"2,085 "
"$210,000",266 Rolling Hill Dr,"Daphne, AL",4,3.5,"3,064 "
"$156,800",110 Wicker Way,"Daphne, AL",3,2,"1,290 "
"$169,000",368 Ridgewood Dr,"Daphne, AL",3,3,"1,912 "
"$245,265",104 Victor Cir,"Daphne, AL",4,4,"2,814 "
"$173,500",111 Marc Cir,"Daphne, AL",3,3,"2,496 "
"$199,900",174 Greenwood Dr,"Daphne, AL",3,3,"1,715 "
"$174,900",103 Laverne Cir,"Daphne, AL",3,3,"2,120 "
"$215,000",7611 Charleston Oaks Dr,"Daphne, AL",4,2.5,"2,262 "
"$1,999,000",10810 Redfern Rd,"Daphne, AL",4,6,"8,000 "
"$179,900",8058 Brookside Ln,"Daphne, AL",3,2,"1,560 "
"$250,000",112 Montclair Pl,"Daphne, AL",5,4,"2,356 "
"$399,900",10975 Elysian Cir,"Daphne, AL",4,3,"2,950 "
"$348,200",8892 S Lamhatty Ln,"Daphne, AL",4,3,"3,028 "
"$65,000",Lot-1104B Randall Ave,"Daphne, AL",Null,Null,Null
"$239,900",8365 Rocking Horse Cir,"Daphne, AL",4,3,"2,182 "
"$193,000",100 Tara Ct,"Daphne, AL",3,3,"1,536 "
"$217,675",27486 Elise Ct,"Daphne, AL",3,2,"1,425 "
"$240,000",110 Melanie Loop,"Daphne, AL",4,4,"2,400 "
"$3,999,995",319 Woodbridge Dr,"Daphne, AL",5,10,"8,450 "
"$298,000",554 Wedgewood Dr,"Daphne, AL",4,5,"3,400 "
"$159,900",106 Avon Cir E,"Daphne, AL",3,2,"1,554 "
"$162,000",128 Richmond Rd,"Daphne, AL",3,3,"1,792 "
"$209,900",106 Comer Cir,"Daphne, AL",4,3,"2,394 "
"$179,900",222 Maplewood Loop,"Daphne, AL",3,3,"1,740 "
"$136,000",119 Shiloh Dr,"Daphne, AL",2,2,"1,225 "
"$132,500",57 Lake Shore Dr,"Daphne, AL",4,4,"1,997 "
"$199,900",27304 Elise Ct,"Daphne, AL",3,2,"1,573 "
"$179,000",169 Lakeview Loop,"Daphne, AL",3,3,"1,806 "
"$132,000",4 Yacht Club Dr #182,"Daphne, AL",2,2,"1,010 "
"$189,000",110 Cameron Cir,"Daphne, AL",4,3,"2,085 "
"$210,000",266 Rolling Hill Dr,"Daphne, AL",4,3.5,"3,064 "
"$156,800",110 Wicker Way,"Daphne, AL",3,2,"1,290 "
"$169,000",368 Ridgewood Dr,"Daphne, AL",3,3,"1,912 "
"$245,265",104 Victor Cir,"Daphne, AL",4,4,"2,814 "
"$173,500",111 Marc Cir,"Daphne, AL",3,3,"2,496 "
"$199,900",174 Greenwood Dr,"Daphne, AL",3,3,"1,715 "
"$174,900",103 Laverne Cir,"Daphne, AL",3,3,"2,120 "
"$215,000",7611 Charleston Oaks Dr,"Daphne, AL",4,2.5,"2,262 "
"$1,999,000",10810 Redfern Rd,"Daphne, AL",4,6,"8,000 "
"$179,900",8058 Brookside Ln,"Daphne, AL",3,2,"1,560 "
"$250,000",112 Montclair Pl,"Daphne, AL",5,4,"2,356 "
"$399,900",10975 Elysian Cir,"Daphne, AL",4,3,"2,950 "
"$348,200",8892 S Lamhatty Ln,"Daphne, AL",4,3,"3,028 "
"$65,000",Lot-1104B Randall Ave,"Daphne, AL",Null,Null,Null
"$239,900",8365 Rocking Horse Cir,"Daphne, AL",4,3,"2,182 "
"$193,000",100 Tara Ct,"Daphne, AL",3,3,"1,536 "
"$217,675",27486 Elise Ct,"Daphne, AL",3,2,"1,425 "
"$240,000",110 Melanie Loop,"Daphne, AL",4,4,"2,400 "
"$3,999,995",319 Woodbridge Dr,"Daphne, AL",5,10,"8,450 "
"$298,000",554 Wedgewood Dr,"Daphne, AL",4,5,"3,400 "
"$159,900",106 Avon Cir E,"Daphne, AL",3,2,"1,554 "
"$162,000",128 Richmond Rd,"Daphne, AL",3,3,"1,792 "
"$209,900",106 Comer Cir,"Daphne, AL",4,3,"2,394 "
"$179,900",222 Maplewood Loop,"Daphne, AL",3,3,"1,740 "
"$136,000",119 Shiloh Dr,"Daphne, AL",2,2,"1,225 "
"$132,500",57 Lake Shore Dr,"Daphne, AL",4,4,"1,997 "
"$199,900",27304 Elise Ct,"Daphne, AL",3,2,"1,573 "
"$179,000",169 Lakeview Loop,"Daphne, AL",3,3,"1,806 "
"$132,000",4 Yacht Club Dr #182,"Daphne, AL",2,2,"1,010 "
"$189,000",110 Cameron Cir,"Daphne, AL",4,3,"2,085 "
"$210,000",266 Rolling Hill Dr,"Daphne, AL",4,3.5,"3,064 "
"$156,800",110 Wicker Way,"Daphne, AL",3,2,"1,290 "
"$169,000",368 Ridgewood Dr,"Daphne, AL",3,3,"1,912 "
"$245,265",104 Victor Cir,"Daphne, AL",4,4,"2,814 "
"$173,500",111 Marc Cir,"Daphne, AL",3,3,"2,496 "
"$199,900",174 Greenwood Dr,"Daphne, AL",3,3,"1,715 "
"$174,900",103 Laverne Cir,"Daphne, AL",3,3,"2,120 "
"$215,000",7611 Charleston Oaks Dr,"Daphne, AL",4,2.5,"2,262 "
"$1,999,000",10810 Redfern Rd,"Daphne, AL",4,6,"8,000 "
"$179,900",8058 Brookside Ln,"Daphne, AL",3,2,"1,560 "
"$250,000",112 Montclair Pl,"Daphne, AL",5,4,"2,356 "
"$399,900",10975 Elysian Cir,"Daphne, AL",4,3,"2,950 "
"$348,200",8892 S Lamhatty Ln,"Daphne, AL",4,3,"3,028 "
"$65,000",Lot-1104B Randall Ave,"Daphne, AL",Null,Null,Null
Price,address,region,bds,ba,sqft
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
"$131,000",12844 Churchill Dr #B,"Spanish Fort, AL",2,2,"1,180 "
"$200,000",7170 Highpointe Pl W,"Daphne, AL",4,2,"2,230 "
"$374,900",32566 Wildflower Trl,"Spanish Fort, AL",4,3,"2,900 "
"$236,900",11702 Alameda Ct,"Spanish Fort, AL",4,2,"1,856 "
"$235,000",9260 Huckleberry Dr,"Spanish Fort, AL",3,2,"2,013 "
"$242,500",31957 Calder Ct,"Spanish Fort, AL",3,2,"1,859 "
"$219,900",30632 Pinyon Dr,"Spanish Fort, AL",4,2,"1,850 "
"$339,900",8360 Weatherford Ct,"Spanish Fort, AL",5,3,"2,936 "
"$419,900",7578 Tara Blvd S,"Spanish Fort, AL",4,4,"3,682 "
"$450,000",7566 Tara Blvd S,"Spanish Fort, AL",5,3,"3,636 "
"$315,000",9692 Tanager Ln,"Spanish Fort, AL",5,3,"2,616 "
"$375,000",35560 Coach Run,"Spanish Fort, AL",4,4,"3,071 "
"$379,900",32458 Wildflower Trl,"Spanish Fort, AL",4,4,"3,133 "
"$414,900",7891 Fresh Water Dr,"Spanish Fort, AL",4,4,"3,158 "
"$540,000",30713 Azalea Ct,"Spanish Fort, AL",5,4,"4,558 "
"$245,000",309 Patrician Dr,"Daphne, AL",3,3,"1,722 "
"$399,950",12936 Ibis Blvd,"Spanish Fort, AL",4,3,"3,090 "
"$285,000",31555 Buckingham Blvd,"Spanish Fort, AL",4,3,"2,508 "
"$279,000",35520 State Highway 225,"Bay Minette, AL",3,1,"1,536 "
"$374,500",31244 Spoonbill Rd,"Daphne, AL",5,3,"3,025 "
"$459,900",8169 Pine Run,"Spanish Fort, AL",4,4,"4,189 "
"$399,900",30329 Crepe Myrtle Ct,"Daphne, AL",4,4,"3,203 "
"$309,900",8741 Hickory Ct,"Spanish Fort, AL",4,2,"2,212 "
"$265,000",801 Artillery Range S,"Spanish Fort, AL",3,3,"2,419 "
"$179,900",7080 Highpointe Pl W,"Spanish Fort, AL",3,2,"1,656 "
"$450,000",7672 Twelve Oaks Dr,"Spanish Fort, AL",4,3,"3,386 "
"$494,500",30275 Scotch Pine Ct,"Spanish Fort, AL",4,4,"3,662 "
"$289,500",30175 Loblolly Cir,"Spanish Fort, AL",3,2,"2,000 "
"$239,000",212 Confederate Dr,"Daphne, AL",3,2,"1,786 "
"$245,000",12722 Chickadee Ln,"Spanish Fort, AL",4,2,"1,994 "
